base_metabolite,frequency,models_present,always_metanetx,sometimes_metanetx,standardization_rate
MNXM1369806,1,,TRUE,TRUE,1
MNXM1370094,1,,TRUE,TRUE,1
MNXM1370229_c,1,,FALSE,FALSE,0
MNXM1370306_c,1,,FALSE,FALSE,0
MNXM1370307,1,,TRUE,TRUE,1
MNXM1370309,1,,TRUE,TRUE,1
MNXM1371097,1,,TRUE,TRUE,1
MNXM1371099,1,,TRUE,TRUE,1
MNXM1371298,1,,TRUE,TRUE,1
MNXM1371614,1,,TRUE,TRUE,1
MNXM1372067,1,,TRUE,TRUE,1
MNXM1372180,1,,TRUE,TRUE,1
MNXM1372217,1,,TRUE,TRUE,1
MNXM1372243,1,,TRUE,TRUE,1
MNXM1372277,1,,TRUE,TRUE,1
MNXM1372278,1,,TRUE,TRUE,1
MNXM1372293,1,,TRUE,TRUE,1
MNXM1372479,1,,TRUE,TRUE,1
MNXM1372831,1,,TRUE,TRUE,1
MNXM1372909,1,,TRUE,TRUE,1
MNXM1372910,1,,TRUE,TRUE,1
MNXM1373318,1,,TRUE,TRUE,1
MNXM1373405,1,,TRUE,TRUE,1
MNXM1373900,1,,TRUE,TRUE,1
MNXM1392,1,,TRUE,TRUE,1
MNXM13_c,1,,FALSE,FALSE,0
MNXM1401,1,,TRUE,TRUE,1
MNXM1401_c,1,,FALSE,FALSE,0
MNXM1422,1,,TRUE,TRUE,1
MNXM142_c,1,,FALSE,FALSE,0
MNXM144_c,1,,FALSE,FALSE,0
MNXM145540,1,,TRUE,TRUE,1
MNXM1456,1,,TRUE,TRUE,1
MNXM145797,1,,TRUE,TRUE,1
MNXM145806,1,,TRUE,TRUE,1
MNXM145923,1,,TRUE,TRUE,1
MNXM145924,1,,TRUE,TRUE,1
MNXM145924_c,1,,FALSE,FALSE,0
MNXM146231,1,,TRUE,TRUE,1
MNXM146231_c,1,,FALSE,FALSE,0
MNXM146314,1,,TRUE,TRUE,1
MNXM146388_c,1,,FALSE,FALSE,0
